Env,Rep,Block,Plot,Geno,FLOWER,Duration,PlantHt,CropBF,HI,YLD
A01WSCM,1,1,1,IR60080-46A,81,110,130,1380.64,38.0258,3.57083
A01WSCM,1,1,2,IR71524-44-1-1,79,110,130,1188.8,33.2032,3.3956
A01WSCM,1,1,3,WAB56-125,64,92,100,827.96,23.2185,1.49353
A01WSCM,1,1,4,C22,88,118,125,1297.72,32.6973,3.08693
A01WSCM,1,1,5,IR68702-072-1-4-B,74,98,115,1130.52,34.2179,3.18903
A01WSCM,1,1,6,IR55419-04,74,103,110,1263.6,42.4691,4.48053
A01WSCM,1,1,7,IR66424-1-2-1-5,71,98,105,1082.28,40.5071,3.132
A01WSCM,1,1,8,UPLRI-7,81,110,105,1111.32,37.5913,4.1148
A01WSCM,1,2,9,IRAT216,79,110,105,1063.72,29.5115,1.6616
A01WSCM,1,2,10,WAYRAREM,82,112,130,992.92,33.473,2.84363
A01WSCM,1,2,11,WAB638-1,90,118,145,1131,23.8338,1.45797
A01WSCM,1,2,12,IR55423-01,83,112,105,1172.12,34.5664,3.3043
A01WSCM,1,2,13,CT6516-24-3-2,79,110,115,1403.76,37.5563,3.17267
A01WSCM,1,2,14,IRAT212,64,92,85,516.56,28.6124,0.98983
A01WSCM,1,2,15,PRIMAVERA,66,91,120,923.2,30.5243,1.16817
A01WSCM,1,2,16,WAB181-18,66,92,110,762.56,41.9062,1.33297
A01WSCM,1,3,17,WAB96-1-1,80,110,130,1163.96,29.4099,1.3186
A01WSCM,1,3,18,IR47686-30-3-2,87,112,130,1433.64,28.579,2.7081
A01WSCM,1,3,19,UPLRI-5,88,112,130,1300.76,27.5101,2.13153
A01WSCM,1,3,20,IR65907-116-1-B,74,98,100,852.36,27.364,1.99437
A01WSCM,1,3,21,AUS196,70,91,120,1055.12,31.6779,2.4452
A01WSCM,1,3,22,IR66421-062-1-1-2,82,116,120,1098.2,23.1652,1.97867
A01WSCM,1,3,23,IRAT177,80,110,115,1462.8,22.3544,1.8725
A01WSCM,1,3,24,IR70358-84-1-1,64,91,105,508.48,34.7939,0.84743
A01WSCM,1,4,25,CT13370-12-2-M,78,110,110,769.56,28.8373,1.58493
A01WSCM,1,4,26,IR65261-09-1-B,78,110,125,1119,31.9035,2.13083
A01WSCM,1,4,27,AZUCENA,89,116,155,1263.24,17.0926,1.27993
A01WSCM,1,4,28,B6144F-MR-6-0-0,81,110,125,949.88,38.3459,3.0702
A01WSCM,1,4,29,IR70360-38-1-B-1,80,110,120,1318.48,26.3607,2.92297
A01WSCM,1,4,30,CT6510-24-1-2,81,110,115,1440.24,40.3655,3.48447
A01WSCM,1,4,31,VANDANA,61,87,125,1105.52,27.7046,1.1219
A01WSCM,1,4,32,IR71525-19-1-1,78,103,125,1254.52,40.9655,2.9616
A01WSCM,1,5,33,IRAT170,84,110,120,1170.64,21.783,2.3125
A01WSCM,1,5,34,CT13382-8-3-M,72,98,110,1180.4,26.0047,2.32247
A01WSCM,1,5,35,IR66417-18-1-1-1,93,118,130,1775.16,24.5071,1.89587
A01WSCM,1,5,36,MARAVILHA,66,91,125,952.32,30.8804,1.51173
A01WSCM,1,5,37,PALAWAN,80,110,140,1416.56,17.1345,1.86893
A01WSCM,1,5,38,CT13377-4-2-M,72,98,100,1663.52,34.6807,2.74743
A01WSCM,1,5,39,IR72768-15-1-1,73,98,105,1450.04,40.4954,3.156
A01WSCM,1,5,40,DINORADO,88,116,155,1215.2,16.1883,0.89727
A01WSCM,2,1,41,CT13377-4-2-M,69,98,105,1377.96,37.7195,3.16647
A01WSCM,2,1,42,AUS196,65,91,130,1326.52,26.3034,2.89077
A01WSCM,2,1,43,DINORADO,87,116,160,1318.12,19.3913,1.87967
A01WSCM,2,1,44,IR71524-44-1-1,76,103,140,1027.44,39.6909,3.63983
A01WSCM,2,1,45,CT6516-24-3-2,73,103,120,1061.24,26.8667,2.67093
A01WSCM,2,1,46,UPLRI-7,74,103,120,1337.28,38.2239,4.2593
A01WSCM,2,1,47,WAB96-1-1,77,103,135,1357.92,27.3507,1.74283
A01WSCM,2,1,48,IR65261-09-1-B,76,103,135,1619.44,25.6484,2.34613
